TMK13,TMK9,TMK_Island,TMK_Zone,TMK_Sec,TMK_Plat,TMK_Parcel,TMK_CPR
2130090850000,213009085000,2,13,00,908,5000,0
2130090860000,213009086000,2,13,00,908,6000,0
2130090880000,213009088000,2,13,00,908,8000,0
2130090890000,213009089000,2,13,00,908,9000,0
2130090900000,213009090000,2,13,00,909,0000,0
2130090910000,213009091000,2,13,00,909,1000,0
2130090920000,213009092000,2,13,00,909,2000,0
2130090950000,213009095000,2,13,00,909,5000,0
2130090960000,213009096000,2,13,00,909,6000,0
2130090980000,213009098000,2,13,00,909,8000,0
2130090990000,213009099000,2,13,00,909,9000,0
2130091000000,213009100000,2,13,00,910,0000,0
2130091030000,213009103000,2,13,00,910,3000,0
2130091030000,213009103000,2,13,00,910,3000,0
2130091040000,213009104000,2,13,00,910,4000,0
2130091070000,213009107000,2,13,00,910,7000,0
2130091070000,213009107000,2,13,00,910,7000,0
2130091110000,213009111000,2,13,00,911,1000,0
2130091120000,213009112000,2,13,00,911,2000,0
2140020040000,214002004000,2,14,00,200,4000,0
2140030010000,214003001000,2,14,00,300,1000,0
2140030010000,214003001000,2,14,00,300,1000,0
2140030040000,214003004000,2,14,00,300,4000,0
2140030200000,214003020000,2,14,00,302,0000,0
2140030230000,214003023000,2,14,00,302,3000,0
2140030250000,214003025000,2,14,00,302,5000,0
2140030280000,214003028000,2,14,00,302,8000,0
2140030290000,214003029000,2,14,00,302,9000,0
2140030290000,214003029000,2,14,00,302,9000,0
2140030340000,214003034000,2,14,00,303,4000,0
2140030400000,214003040000,2,14,00,304,0000,0
2140030460000,214003046000,2,14,00,304,6000,0
2140030480000,214003048000,2,14,00,304,8000,0
2140030500000,214003050000,2,14,00,305,0000,0
2140030510000,214003051000,2,14,00,305,1000,0
2140030560000,214003056000,2,14,00,305,6000,0
2140030560000,214003056000,2,14,00,305,6000,0
2140030560000,214003056000,2,14,00,305,6000,0
2140030560000,214003056000,2,14,00,305,6000,0
2140030560000,214003056000,2,14,00,305,6000,0
2140030560000,214003056000,2,14,00,305,6000,0
2140030580001,214003058000,2,14,00,305,8000,1
2140030580002,214003058000,2,14,00,305,8000,2
2140030580003,214003058000,2,14,00,305,8000,3
2140030580004,214003058000,2,14,00,305,8000,4
2140030580005,214003058000,2,14,00,305,8000,5
2140030580006,214003058000,2,14,00,305,8000,6
2140030580007,214003058000,2,14,00,305,8000,7
2140030580008,214003058000,2,14,00,305,8000,8
2140030580009,214003058000,2,14,00,305,8000,9
2140030580010,214003058001,2,14,00,305,8001,0
2140030580011,214003058001,2,14,00,305,8001,1
2140030580012,214003058001,2,14,00,305,8001,2
2140030580013,214003058001,2,14,00,305,8001,3
2140030580014,214003058001,2,14,00,305,8001,4
2140030580015,214003058001,2,14,00,305,8001,5
2140030580016,214003058001,2,14,00,305,8001,6
2140030580017,214003058001,2,14,00,305,8001,7
2140030580018,214003058001,2,14,00,305,8001,8
2140030580019,214003058001,2,14,00,305,8001,9
2140030580020,214003058002,2,14,00,305,8002,0
2140030580021,214003058002,2,14,00,305,8002,1
2140030580022,214003058002,2,14,00,305,8002,2
2140030580023,214003058002,2,14,00,305,8002,3
2140030580024,214003058002,2,14,00,305,8002,4
2140030580025,214003058002,2,14,00,305,8002,5
2140030580026,214003058002,2,14,00,305,8002,6
2140030580027,214003058002,2,14,00,305,8002,7
2140030580028,214003058002,2,14,00,305,8002,8
2140030580029,214003058002,2,14,00,305,8002,9
2140030580030,214003058003,2,14,00,305,8003,0
2140030580031,214003058003,2,14,00,305,8003,1
2140030580032,214003058003,2,14,00,305,8003,2
2140030580033,214003058003,2,14,00,305,8003,3
2140030580034,214003058003,2,14,00,305,8003,4
2140030580035,214003058003,2,14,00,305,8003,5
2140030580036,214003058003,2,14,00,305,8003,6
2140030580037,214003058003,2,14,00,305,8003,7
2140030580038,214003058003,2,14,00,305,8003,8
2140030580039,214003058003,2,14,00,305,8003,9
2140030580040,214003058004,2,14,00,305,8004,0
2140030580041,214003058004,2,14,00,305,8004,1
2140030580042,214003058004,2,14,00,305,8004,2
2140030580043,214003058004,2,14,00,305,8004,3
2140030580044,214003058004,2,14,00,305,8004,4
2140030580045,214003058004,2,14,00,305,8004,5
2140030580046,214003058004,2,14,00,305,8004,6
2140030580047,214003058004,2,14,00,305,8004,7
2140030600000,214003060000,2,14,00,306,0000,0
2140030600000,214003060000,2,14,00,306,0000,0
2140030610000,214003061000,2,14,00,306,1000,0
2140040030000,214004003000,2,14,00,400,3000,0
2140040030000,214004003000,2,14,00,400,3000,0
2140040050000,214004005000,2,14,00,400,5000,0
2140040130000,214004013000,2,14,00,401,3000,0
2140040140000,214004014000,2,14,00,401,4000,0
2140040190000,214004019000,2,14,00,401,9000,0
2140040220012,214004022001,2,14,00,402,2001,2
2140040220013,214004022001,2,14,00,402,2001,3
2140040220014,214004022001,2,14,00,402,2001,4
2140040220015,214004022001,2,14,00,402,2001,5
2140040220017,214004022001,2,14,00,402,2001,7
2140040220019,214004022001,2,14,00,402,2001,9
2140040220021,214004022002,2,14,00,402,2002,1
2140040300000,214004030000,2,14,00,403,0000,0
2140040340000,214004034000,2,14,00,403,4000,0
2140050150000,214005015000,2,14,00,501,5000,0
2140050160000,214005016000,2,14,00,501,6000,0
2140050180000,214005018000,2,14,00,501,8000,0
2140050190000,214005019000,2,14,00,501,9000,0
2140050200000,214005020000,2,14,00,502,0000,0
2140050220000,214005022000,2,14,00,502,2000,0
2140050230000,214005023000,2,14,00,502,3000,0
2140050230000,214005023000,2,14,00,502,3000,0
2140050260000,214005026000,2,14,00,502,6000,0
2140050260000,214005026000,2,14,00,502,6000,0
2140050270000,214005027000,2,14,00,502,7000,0
2140050330000,214005033000,2,14,00,503,3000,0
2140050400001,214005040000,2,14,00,504,0000,1
2140050400002,214005040000,2,14,00,504,0000,2
2140050400003,214005040000,2,14,00,504,0000,3
2140050400004,214005040000,2,14,00,504,0000,4
