TMK13,Bedrooms
2150030230000,2.0
2150030240000,3.0
2150030260000,
2150030300000,3.0
2150030310000,1.0
2150030310000,1.0
2150030320000,3.0
2150030330000,3.0
2150040020000,3.0
2150040030000,2.0
2150040080000,3.0
2150040090000,2.0
2150040090000,2.0
2150040110000,2.0
2150040120000,3.0
2150040150000,2.0
2150040150000,1.0
2150040170000,3.0
2150040180000,2.0
2150050060000,2.0
2150050080000,2.0
2150050090000,3.0
2150050100000,2.0
2150050110000,2.0
2150050120000,3.0
2150050150000,1.0
2150050160000,1.0
2150050160000,4.0
2150050160000,2.0
2150050170000,3.0
2150050190000,2.0
2150050200000,1.0
2150050210000,0.0
2150050210000,1.0
2150060030000,2.0
2150060050000,2.0
2150060050000,1.0
2150060060000,3.0
2150060070000,1.0
2150060090000,1.0
2150060120000,2.0
2150060120000,
2150060140000,
2150060150000,2.0
2150070020000,1.0
2150070030000,2.0
2150070050000,4.0
2150070060000,1.0
2150070070000,2.0
2150070080000,3.0
2150070090000,3.0
2150070100000,5.0
2150080060000,1.0
2150080090000,4.0
2150080100000,1.0
2150080100000,3.0
2150080120000,0.0
2150080120000,2.0
2150090010000,3.0
2150090010000,1.0
2150090020000,3.0
2150090020000,3.0
2150090030000,3.0
2150090030000,4.0
2150090030000,3.0
2150090050000,
2150090130000,3.0
2150090140000,2.0
2150090180000,4.0
2150090220000,2.0
2150090240000,3.0
2150100010000,2.0
2150100010000,3.0
2150110080000,1.0
2150110080000,3.0
2150110090000,
2150110210000,1.0
2160010040000,1.0
2160030030000,4.0
2160040010000,
2160040060000,2.0
2160050070000,2.0
2160050090000,3.0
2160050090000,1.0
2160050250000,
2160050260000,1.0
2160050260000,1.0
2160050260000,2.0
2160050260000,1.0
2160050270000,1.0
2160050270000,
2160050280000,
2160050310000,
2160050310000,1.0
2160050310000,
2160050330000,3.0
2160050330000,3.0
2160050340000,
2160050350000,2.0
2160050360000,
2160050360000,
2160060070000,4.0
2160060190000,2.0
2160070030000,2.0
2160070040000,2.0
2160070050000,2.0
2160070060000,
2160070090000,1.0
2160070120000,3.0
2160070140000,1.0
2160070170000,1.0
2160070170000,1.0
2160070170000,1.0
2160070170000,1.0
2160070190000,2.0
2160070220000,3.0
2160080010000,0.0
2160080010000,2.0
2160080050000,2.0
2160080060000,2.0
2160080070000,2.0
2160080090000,5.0
2160080090000,1.0
2160080090000,
2160080100000,3.0
2160080100000,5.0
2160080130000,2.0
2160080140000,2.0
2160080140000,2.0
2160080150000,2.0
2160080160000,2.0
2160080160000,0.0
2160080170000,3.0
2160080170000,1.0
2160080180000,2.0
2160080190000,3.0
2160080190000,3.0
2160080220000,2.0
2160080230000,4.0
2160090040000,2.0
2160090040000,4.0
2160090040000,2.0
2160090050000,3.0
2160090100000,2.0
2160090100000,3.0
2160090130000,2.0
